name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,density,vapor_pressure,enthalpy_of_formation,heat_capacity,critical_temperature,critical_pressure,acentric_factor,viscosity,thermal_conductivity,price,property_name,property_phase_raw,property_phase_norm,phase_coarse,temperature_K,pressure_kPa,expanded_uncertainty,doi,title,journal,year,primary_inchi,primary_inchikey,source_file,component_regnum,component_count,is_mixture,structure_source,structure_key,abs_delta_T_ref,abs_delta_P_ref
3-hydroxyflavone,O=c1c(O)c(-c2ccccc2)oc2ccccc12,Experimental,C15H10O3,238.24199999999993,1.0,1.0,3.0,50.44,3.1656000000000017,-,-,-,-,-,270.1,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,100.0,13.5,10.1021/acs.jced.7b01034,Isothermal Thermogravimetric Study for Determining Sublimation Enthalpies of Some Hydroxyflavones,J. Chem. Eng. Data,2018,"InChI=1S/C15H10O3/c16-13-11-8-4-5-9-12(11)18-15(14(13)17)10-6-2-1-3-7-10/h1-9,17H",HVQAJTFOCKOKIN-UHFFFAOYSA-N,acs.jced.7b01034.json,4,1,False,inchi,inchikey::HVQAJTFOCKOKIN-UHFFFAOYSA-N,0.0,
5-hydroxyflavone,O=c1cc(-c2ccccc2)oc2cccc(O)c12,Experimental,C15H10O3,238.24199999999993,1.0,1.0,3.0,50.44,3.1656000000000017,-,-,-,-,-,279.8,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,100.0,14.0,10.1021/acs.jced.7b01034,Isothermal Thermogravimetric Study for Determining Sublimation Enthalpies of Some Hydroxyflavones,J. Chem. Eng. Data,2018,"InChI=1S/C15H10O3/c16-11-7-4-8-13-15(11)12(17)9-14(18-13)10-5-2-1-3-6-10/h1-9,16H",IYBLVRRCNVHZQJ-UHFFFAOYSA-N,acs.jced.7b01034.json,5,1,False,inchi,inchikey::IYBLVRRCNVHZQJ-UHFFFAOYSA-N,0.0,
6-hydroxyflavone,O=c1cc(-c2ccccc2)oc2ccc(O)cc12,Experimental,C15H10O3,238.24199999999993,1.0,1.0,3.0,50.44,3.1656000000000017,-,-,-,-,-,250.3,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,100.0,12.5,10.1021/acs.jced.7b01034,Isothermal Thermogravimetric Study for Determining Sublimation Enthalpies of Some Hydroxyflavones,J. Chem. Eng. Data,2018,"InChI=1S/C15H10O3/c16-11-6-7-14-12(8-11)13(17)9-15(18-14)10-4-2-1-3-5-10/h1-9,16H",GPZYYYGYCRFPBU-UHFFFAOYSA-N,acs.jced.7b01034.json,6,1,False,inchi,inchikey::GPZYYYGYCRFPBU-UHFFFAOYSA-N,0.0,
7-hydroxyflavone,O=c1cc(-c2ccccc2)oc2cc(O)ccc12,Experimental,C15H10O3,238.24199999999993,1.0,1.0,3.0,50.44,3.1656000000000017,-,-,-,-,-,253.1,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,100.0,12.7,10.1021/acs.jced.7b01034,Isothermal Thermogravimetric Study for Determining Sublimation Enthalpies of Some Hydroxyflavones,J. Chem. Eng. Data,2018,"InChI=1S/C15H10O3/c16-11-6-7-12-13(17)9-14(18-15(12)8-11)10-4-2-1-3-5-10/h1-9,16H",MQGPSCMMNJKMHQ-UHFFFAOYSA-N,acs.jced.7b01034.json,7,1,False,inchi,inchikey::MQGPSCMMNJKMHQ-UHFFFAOYSA-N,0.0,
6-aminoflavone,Nc1ccc2oc(-c3ccccc3)cc(=O)c2c1,Experimental,C15H11NO2,237.25799999999992,1.0,1.0,3.0,56.230000000000004,3.042200000000001,-,-,-,-,-,277.9,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,100.0,13.9,10.1021/acs.jced.7b01034,Isothermal Thermogravimetric Study for Determining Sublimation Enthalpies of Some Hydroxyflavones,J. Chem. Eng. Data,2018,"InChI=1S/C15H11NO2/c16-11-6-7-14-12(8-11)13(17)9-15(18-14)10-4-2-1-3-5-10/h1-9H,16H2",YWHKBWPNCFDUPQ-UHFFFAOYSA-N,acs.jced.7b01034.json,8,1,False,inchi,inchikey::YWHKBWPNCFDUPQ-UHFFFAOYSA-N,0.0,
1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,Experimental,C8H15F6N2P,284.1839999999999,3.0,0.0,1.0,8.809999999999999,4.495100000000003,-,-,-,-,-,407.08,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,18.88,10.1021/acs.jced.8b01095,"Density, Speed of Sound, and Dynamic Viscosity of 1-Butyl-3-methylimidazolium Bis(trifluoromethylsulfonyl)imide/1-Butyl-3-methylimidazolium Hexafluorophosphate and N-Methylaniline Binary Systems from T = 298.15 to 323.15 K at 0.1 MPa",J. Chem. Eng. Data,2019,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",IXQYBUDWDLYNMA-UHFFFAOYSA-N,acs.jced.8b01095.json,2,1,False,inchi,inchikey::IXQYBUDWDLYNMA-UHFFFAOYSA-N,0.0,
N-methylaniline,CNc1ccccc1,Experimental,C7H9N,107.15599999999999,1.0,1.0,1.0,12.03,1.7283,-,-,-,-,-,207.12,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,9.6,10.1021/acs.jced.8b01095,"Density, Speed of Sound, and Dynamic Viscosity of 1-Butyl-3-methylimidazolium Bis(trifluoromethylsulfonyl)imide/1-Butyl-3-methylimidazolium Hexafluorophosphate and N-Methylaniline Binary Systems from T = 298.15 to 323.15 K at 0.1 MPa",J. Chem. Eng. Data,2019,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",AFBPFSWMIHJQDM-UHFFFAOYSA-N,acs.jced.8b01095.json,3,1,False,inchi,inchikey::AFBPFSWMIHJQDM-UHFFFAOYSA-N,0.0,
N-methylpyrrolidone,CN1CCCC1=O,Experimental,C5H9NO,99.133,0.0,0.0,1.0,20.310000000000002,0.23859999999999992,-,-,-,-,-,115.26,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Ideal gas,gas,gas,298.15,100.0,5.76,10.1016/j.fluid.2015.06.045,"Recommended vapor pressures for aniline, nitromethane, 2-aminoethanol, and 1-methyl-2-pyrrolidone",Fluid Phase Equilib.,2015,"InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3",SECXISVLQFMRJM-UHFFFAOYSA-N,j.fluid.2015.06.045.json,1,1,False,inchi,inchikey::SECXISVLQFMRJM-UHFFFAOYSA-N,0.0,
2-aminoethan-1-ol,NCCO,Experimental,C2H7NO,61.083999999999996,1.0,2.0,2.0,46.25,-1.0626000000000002,-,-,-,-,-,84.38,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Ideal gas,gas,gas,298.15,100.0,4.22,10.1016/j.fluid.2015.06.045,"Recommended vapor pressures for aniline, nitromethane, 2-aminoethanol, and 1-methyl-2-pyrrolidone",Fluid Phase Equilib.,2015,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2",HZAXFHJVJLSVMW-UHFFFAOYSA-N,j.fluid.2015.06.045.json,2,1,False,inchi,inchikey::HZAXFHJVJLSVMW-UHFFFAOYSA-N,0.0,
N-methylpyrrolidone,CN1CCCC1=O,Experimental,C5H9NO,99.133,0.0,0.0,1.0,20.310000000000002,0.23859999999999992,-,-,-,-,-,174.82760796,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,4.86733701,10.1016/j.jct.2008.08.003,Thermodynamic properties of mixtures of N-methyl-2-pyrrolidinone and methanol at temperatures between 298.15 K and 343.15 K and pressures up to 60 MPa,J. Chem. Thermodyn.,2009,"InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3",SECXISVLQFMRJM-UHFFFAOYSA-N,j.jct.2008.08.003.json,1,1,False,inchi,inchikey::SECXISVLQFMRJM-UHFFFAOYSA-N,0.0,
methanol,CO,Experimental,CH4O,32.042,0.0,1.0,1.0,20.23,-0.3915,-,-,-,-,-,81.168439752,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,2.26218735786,10.1016/j.jct.2008.08.003,Thermodynamic properties of mixtures of N-methyl-2-pyrrolidinone and methanol at temperatures between 298.15 K and 343.15 K and pressures up to 60 MPa,J. Chem. Thermodyn.,2009,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N,j.jct.2008.08.003.json,2,1,False,inchi,inchikey::OKKJLVBELUTLKV-UHFFFAOYSA-N,0.0,
(S)-2-pinene,CC1=CC[C@H]2C[C@@H]1C2(C)C,Experimental,C10H16,136.238,0.0,0.0,0.0,0.0,2.9987000000000013,-,-,-,-,-,186.6596719,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Ideal gas,gas,gas,298.15,100.0,3.7415079,10.1016/j.jct.2013.01.009,Thermodynamic study of selected monoterpenes,J. Chem. Thermodyn.,2013,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m0/s1",GRWFGVWFFZKLTI-IUCAKERBSA-N,j.jct.2013.01.009.json,1,1,False,inchi,inchikey::GRWFGVWFFZKLTI-IUCAKERBSA-N,0.0,
"(1S,5S)-6,6-dimethyl-2-methylenebicyclo[3.1.1]heptane",C=C1CC[C@H]2C[C@@H]1C2(C)C,Experimental,C10H16,136.23799999999997,0.0,0.0,0.0,0.0,2.9987000000000013,-,-,-,-,-,183.58332096,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Ideal gas,gas,gas,298.15,100.0,3.65836328,10.1016/j.jct.2013.01.009,Thermodynamic study of selected monoterpenes,J. Chem. Thermodyn.,2013,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3/t8-,9-/m0/s1",WTARULDDTDQWMU-IUCAKERBSA-N,j.jct.2013.01.009.json,2,1,False,inchi,inchikey::WTARULDDTDQWMU-IUCAKERBSA-N,0.0,
(-)-cis-verbenol,CC1=C[C@H](O)[C@H]2C[C@@H]1C2(C)C,Experimental,C10H16O,152.237,0.0,1.0,1.0,20.23,1.9695000000000005,-,-,-,-,-,208.2772731,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Ideal gas,gas,gas,298.15,100.0,4.157231,10.1016/j.jct.2013.01.009,Thermodynamic study of selected monoterpenes,J. Chem. Thermodyn.,2013,"InChI=1S/C10H16O/c1-6-4-9(11)8-5-7(6)10(8,2)3/h4,7-9,11H,5H2,1-3H3/t7-,8+,9-/m0/s1",WONIGEXYPVIKFS-YIZRAAEISA-N,j.jct.2013.01.009.json,3,1,False,inchi,inchikey::WONIGEXYPVIKFS-YIZRAAEISA-N,0.0,
(-)-verbenone,CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C,Experimental,C10H14O,150.22099999999998,0.0,0.0,1.0,17.07,2.1776999999999997,-,-,-,-,-,193.81010922,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Ideal gas,gas,gas,298.15,100.0,3.90779714,10.1016/j.jct.2013.01.009,Thermodynamic study of selected monoterpenes,J. Chem. Thermodyn.,2013,"InChI=1S/C10H14O/c1-6-4-9(11)8-5-7(6)10(8,2)3/h4,7-8H,5H2,1-3H3/t7-,8+/m0/s1",DCSCXTJOXBUFGB-JGVFFNPUSA-N,j.jct.2013.01.009.json,4,1,False,inchi,inchikey::DCSCXTJOXBUFGB-JGVFFNPUSA-N,0.0,
benzene,c1ccccc1,Experimental,C6H6,78.11399999999999,0.0,0.0,0.0,0.0,1.6866,-,-,-,-,-,82.2,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Ideal gas,gas,gas,298.15,100.0,3.2,10.1016/j.jct.2013.08.022,Recommended sublimation pressure and enthalpy of benzene,J. Chem. Thermodyn.,2014,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N,j.jct.2013.08.022.json,1,1,False,inchi,inchikey::UHOVQNZJYSORNB-UHFFFAOYSA-N,0.0,
1-ethyl-3-methylimidazolium tetrafluoroborate,CCn1cc[n+](C)c1.F[B-](F)(F)F,Experimental,C6H11BF4N2,197.97199999999998,1.0,0.0,1.0,8.809999999999999,1.6325,-,-,-,-,-,305.12,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,12.95,10.1016/j.jct.2014.07.014,Excess heat capacities of (binary + ternary) mixtures containing [emim][BF4] and organic liquids,J. Chem. Thermodyn.,2014,"InChI=1S/C6H11N2.BF4/c1-3-8-5-4-7(2)6-8;2-1(3,4)5/h4-6H,3H2,1-2H3;/q+1;-1",CUNYTRQQXKCRTJ-UHFFFAOYSA-N,j.jct.2014.07.014.json,1,1,False,inchi,inchikey::CUNYTRQQXKCRTJ-UHFFFAOYSA-N,0.0,
2-pyrrolidinone,OC1=NCCC1,Experimental,C4H7NO,85.106,0.0,1.0,1.0,32.59,0.7367,-,-,-,-,-,169.55,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,7.19,10.1016/j.jct.2014.07.014,Excess heat capacities of (binary + ternary) mixtures containing [emim][BF4] and organic liquids,J. Chem. Thermodyn.,2014,"InChI=1S/C4H7NO/c6-4-2-1-3-5-4/h1-3H2,(H,5,6)",HNJBEVLQSNELDL-UHFFFAOYSA-N,j.jct.2014.07.014.json,2,1,False,inchi,inchikey::HNJBEVLQSNELDL-UHFFFAOYSA-N,0.0,
pyridine,c1ccncc1,Experimental,C5H5N,79.102,0.0,0.0,1.0,12.89,1.0816,-,-,-,-,-,131.74,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,5.59,10.1016/j.jct.2014.07.014,Excess heat capacities of (binary + ternary) mixtures containing [emim][BF4] and organic liquids,J. Chem. Thermodyn.,2014,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,JUJWROOIHBZHMG-UHFFFAOYSA-N,j.jct.2014.07.014.json,4,1,False,inchi,inchikey::JUJWROOIHBZHMG-UHFFFAOYSA-N,0.0,
"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",CCCCn1cc[n+](C)c1C.F[B-](F)(F)F,Experimental,C9H17BF4N2,240.05299999999997,3.0,0.0,1.0,8.809999999999999,2.721120000000001,-,-,-,-,-,416.01,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Metastable liquid,liquid,liquid,298.15,100.0,8.88,10.1016/j.jct.2016.08.010,"Topological investigations of molecular interactions in binary ionic liquid mixtures with a common ion: Excess molar volumes, excess isentropic compressibilities, excess molar enthalpies and excess molar heat capacities",J. Chem. Thermodyn.,2016,"InChI=1S/C9H17N2.BF4/c1-4-5-6-11-8-7-10(3)9(11)2;2-1(3,4)5/h7-8H,4-6H2,1-3H3;/q+1;-1",VCAIYEJBOWHUGP-UHFFFAOYSA-N,j.jct.2016.08.010.json,1,1,False,inchi,inchikey::VCAIYEJBOWHUGP-UHFFFAOYSA-N,0.0,
1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,Experimental,C8H15BF4N2,226.02599999999995,3.0,0.0,1.0,8.809999999999999,2.412700000000001,-,-,-,-,-,365.12,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,7.8,10.1016/j.jct.2016.08.010,"Topological investigations of molecular interactions in binary ionic liquid mixtures with a common ion: Excess molar volumes, excess isentropic compressibilities, excess molar enthalpies and excess molar heat capacities",J. Chem. Thermodyn.,2016,"InChI=1S/C8H15N2.BF4/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)5/h6-8H,3-5H2,1-2H3;/q+1;-1",LSBXQLQATZTAPE-UHFFFAOYSA-N,j.jct.2016.08.010.json,2,1,False,inchi,inchikey::LSBXQLQATZTAPE-UHFFFAOYSA-N,0.0,
niobium potassium tellurate (KNbTeO6),O=[Te](=O)([O-])[O-].[K+].[Nb+].[O].[O],Experimental,KNbO6Te,355.59800000000007,0.0,0.0,4.0,137.26,-6.232500000000001,-,-,-,-,-,167.7,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal 3,solid,solid,298.15,100.0,0.7,10.1016/j.jct.2016.12.013,Thermodynamic and spectroscopic properties of KNbTeO6,J. Chem. Thermodyn.,2017,"InChI=1S/K.Nb.H2O4Te.2O/c;;1-5(2,3)4;;/h;;(H2,1,2,3,4);;/q2*+1;;;/p-2",AJQQXUCCCIKARF-UHFFFAOYSA-L,j.jct.2016.12.013.json,1,1,False,inchi,inchikey::AJQQXUCCCIKARF-UHFFFAOYSA-L,0.0,
"tetrakis(2,2,6,6-tetramethyl-3,5-heptanedionato)zirconium",CC(C)(C)C(=O)[CH-]C(=O)C(C)(C)C.CC(C)(C)C(=O)[CH-]C(=O)C(C)(C)C.CC(C)(C)C(=O)[CH-]C(=O)C(C)(C)C.CC(C)(C)C(=O)[CH-]C(=O)C(C)(C)C.[Zr+4],Experimental,C44H76O8Zr,824.3080000000001,8.0,0.0,8.0,136.55999999999997,9.681860000000002,-,-,-,-,-,1195.7,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,100.0,3.7,10.1016/j.jct.2017.02.026,"Low-temperature heat capacity of tetrakis(2,2,6,6-tetramethyl-3,5-heptanedionato)zirconium",J. Chem. Thermodyn.,2017,"InChI=1S/4C11H19O2.Zr/c4*1-10(2,3)8(12)7-9(13)11(4,5)6;/h4*7H,1-6H3;/q4*-1;+4",MOOILSXNGBFZKZ-UHFFFAOYSA-N,j.jct.2017.02.026.json,1,1,False,inchi,inchikey::MOOILSXNGBFZKZ-UHFFFAOYSA-N,0.0,
ethyl 2-hydroxybenzoate,CCOC(=O)c1ccccc1O,Experimental,C9H10O3,166.176,2.0,1.0,3.0,46.53,1.5688999999999997,-,-,-,-,-,283.07,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,4.39,10.1016/j.jct.2017.09.007,Gas-phase enthalpies of formation of ethyl hydroxybenzoates: An experimental and theoretical approach,J. Chem. Thermodyn.,2018,"InChI=1S/C9H10O3/c1-2-12-9(11)7-5-3-4-6-8(7)10/h3-6,10H,2H2,1H3",GYCKQBWUSACYIF-UHFFFAOYSA-N,j.jct.2017.09.007.json,4,1,False,inchi,inchikey::GYCKQBWUSACYIF-UHFFFAOYSA-N,0.0,
