name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,density,vapor_pressure,enthalpy_of_formation,critical_temperature,critical_pressure,acentric_factor,viscosity,thermal_conductivity,price,heat_capacity,source_subset,doi,title,journal,year,property_phase_norm,temperature_K,pressure_kPa,expanded_uncertainty,primary_inchi,primary_inchikey,source_file,subset_row_rank,structure_key
"1,2-dihydronaphthalene",C1=Cc2ccccc2CC1,NIST_XML_SetA,C10H10,130.18999999999997,0,0,0,0.0,2.646000000000001,-,-,-,-,-,-,-,-,-,-,-,209.64,SetA,10.1016/j.jct.2008.01.009,"Thermodynamic properties of 1,2-dihydronaphthalene: Glassy crystals and missing entropy",J. Chem. Thermodyn.,2008,Liquid,298.15,101.325,0.407,"InChI=1S/C10H10/c1-2-6-10-8-4-3-7-9(10)5-1/h1-3,5-7H,4,8H2",KEIFWROAQVVDBN-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2008.01.009.xml,"(0.0, 0.0, 0.407)",inchikey::KEIFWROAQVVDBN-UHFFFAOYSA-N
octane,CCCCCCCC,NIST_XML_SetA,C8H18,114.23200000000001,5,0,0,0.0,3.3668000000000022,-,-,-,-,-,-,-,-,-,-,-,253.98,SetA,10.1021/je5008444,Excess Molar Enthalpies and Heat Capacities of {2-Methylpiperidine Water} and {N-Methylpiperidine Water} Systems of Low to Moderate Amine Compositions,J. Chem. Eng. Data,2015,Liquid,298.15,101.325,0.42,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",TVMXDCGIABBOFY-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je5008444.xml,"(0.0, 0.0, 0.42)",inchikey::TVMXDCGIABBOFY-UHFFFAOYSA-N
"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,NIST_XML_SetA,C9H12,120.19499999999998,0,0,0,0.0,2.611860000000001,-,-,-,-,-,-,-,-,-,-,-,207.425,SetA,10.1016/j.jct.2006.09.007,Thermodynamics of mixtures involving some (benzene derivatives + benzonitrile),J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.425,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",AUHZEENZYGFFBQ-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2006.09.007.xml,"(0.0, 0.0, 0.425)",inchikey::AUHZEENZYGFFBQ-UHFFFAOYSA-N
"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1,NIST_XML_SetA,C9H12,120.19499999999998,0,0,0,0.0,2.611860000000001,-,-,-,-,-,-,-,-,-,-,-,213.024,SetA,10.1016/j.jct.2006.09.007,Thermodynamics of mixtures involving some (benzene derivatives + benzonitrile),J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.436,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",GWHJZXXIDMPWGX-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2006.09.007.xml,"(0.0, 0.0, 0.436)",inchikey::GWHJZXXIDMPWGX-UHFFFAOYSA-N
isopropylbenzene,CC(C)c1ccccc1,NIST_XML_SetA,C9H12,120.19499999999998,1,0,0,0.0,2.8100000000000014,-,-,-,-,-,-,-,-,-,-,-,214.746,SetA,10.1016/j.jct.2006.09.007,Thermodynamics of mixtures involving some (benzene derivatives + benzonitrile),J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.439,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",RWGFKTVRMDUZSP-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2006.09.007.xml,"(0.0, 0.0, 0.439)",inchikey::RWGFKTVRMDUZSP-UHFFFAOYSA-N
"(2,2-dimethylpropyl)benzene",CC(C)(C)Cc1ccccc1,NIST_XML_SetA,C11H16,148.24899999999997,1,0,0,0.0,3.2752000000000017,-,-,-,-,-,-,-,-,-,-,-,271.9,SetA,10.1016/j.jct.2011.12.010,Thermodynamic properties of neopentylbenzene over the range from T approaching (0 to 350) K,J. Chem. Thermodyn.,2012,Liquid,298.15,101.325,0.5,"InChI=1S/C11H16/c1-11(2,3)9-10-7-5-4-6-8-10/h4-8H,9H2,1-3H3",CJGXJKVMUHXVHL-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2011.12.010.xml,"(0.0, 0.0, 0.5)",inchikey::CJGXJKVMUHXVHL-UHFFFAOYSA-N
1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,NIST_XML_SetA,C9H15F3N2O3S,288.29099999999994,3,0,4,66.00999999999999,1.1641000000000001,-,-,-,-,-,-,-,-,-,-,-,427.7,SetA,10.1016/j.tca.2010.08.002,Thermodynamic properties of 1-butyl-3-methylimidazolium trifluoromethanesulfonate ionic  liquid in the condensed state,Thermochim. Acta,2010,Liquid,298.15,101.325,0.6,"InChI=1S/C8H15N2.CHF3O3S/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)8(5,6)7/h6-8H,3-5H2,1-2H3;(H,5,6,7)/q+1;/p-1",FRZPYEHDSAQGAS-UHFFFAOYSA-M,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.tca.2010.08.002.xml,"(0.0, 0.0, 0.6)",inchikey::FRZPYEHDSAQGAS-UHFFFAOYSA-M
"1,4-diisocyanatobutane",O=C=NCCCCN=C=O,NIST_XML_SetA,C6H8N2O2,140.142,5,0,4,58.86,0.4381999999999999,-,-,-,-,-,-,-,-,-,-,-,225.1,SetA,10.1016/j.jct.2005.06.002,"Thermodynamics of 1,4-diisocyanatobutane in the range from T (0 to 360) K at standard pressure",J. Chem. Thermodyn.,2006,Liquid,298.15,101.325,1.1,InChI=1S/C6H8N2O2/c9-5-7-3-1-2-4-8-6-10/h1-4H2,OVBFMUAFNIIQAL-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2005.06.002.xml,"(0.0, 0.0, 1.1)",inchikey::OVBFMUAFNIIQAL-UHFFFAOYSA-N
1-methyl-3-propylimidazolium bromide,CCCn1cc[n+](C)c1.[Br-],NIST_XML_SetA,C7H13BrN2,205.099,2,0,1,8.809999999999999,-2.273399999999997,-,-,-,-,-,-,-,-,-,-,-,280.8,SetA,10.1016/j.jct.2014.07.018,Low-temperature heat capacity and derived thermodynamic properties for 1-methyl-3-propylimidazolium bromide and 1-butyl-3- methylimidazolium iodide,J. Chem. Thermodyn.,2014,Liquid,298.15,101.325,1.2,"InChI=1S/C7H13N2.BrH/c1-3-4-9-6-5-8(2)7-9;/h5-7H,3-4H2,1-2H3;1H/q+1;/p-1",AJRFBXAXVLBZMP-UHFFFAOYSA-M,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2014.07.018.xml,"(0.0, 0.0, 1.2)",inchikey::AJRFBXAXVLBZMP-UHFFFAOYSA-M
1-butyl-3-methylimidazolium iodide,CCCCn1cc[n+](C)c1.[I-],NIST_XML_SetA,C8H15IN2,266.126,3,0,1,8.809999999999999,-1.8832999999999969,-,-,-,-,-,-,-,-,-,-,-,309.9,SetA,10.1016/j.jct.2014.07.018,Low-temperature heat capacity and derived thermodynamic properties for 1-methyl-3-propylimidazolium bromide and 1-butyl-3- methylimidazolium iodide,J. Chem. Thermodyn.,2014,Liquid,298.15,101.325,1.3,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",XREPTGNZZKNFQZ-UHFFFAOYSA-M,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2014.07.018.xml,"(0.0, 0.0, 1.3)",inchikey::XREPTGNZZKNFQZ-UHFFFAOYSA-M
diisobutyl ether,CC(C)COCC(C)C,NIST_XML_SetA,C8H18O,130.231,4,0,1,9.23,2.3150000000000004,-,-,-,-,-,-,-,-,-,-,-,276.08,SetA,10.1021/je800998u,Phase Equilibria and Thermodynamic Properties of Some Branched Alkyl Ethers,J. Chem. Eng. Data,2009,Liquid,298.15,101.325,1.3,"InChI=1S/C8H18O/c1-7(2)5-9-6-8(3)4/h7-8H,5-6H2,1-4H3",SZNYYWIUQFZLLT-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je800998u.xml,"(0.0, 0.0, 1.3)",inchikey::SZNYYWIUQFZLLT-UHFFFAOYSA-N
methanol,CO,NIST_XML_SetA,CH4O,32.042,0,1,1,20.23,-0.3915,-,-,-,-,-,-,-,-,-,-,-,81.0,SetA,10.1016/j.tca.2006.10.025,Excess molar enthalpies and heat capacities of dimethyl sulfoxide + seven normal alkanols at 303.15K and atmospheric pressure,Thermochim. Acta,2007,Liquid,298.15,101.325,1.3,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.tca.2006.10.025.xml,"(0.0, 0.0, 1.3)",inchikey::OKKJLVBELUTLKV-UHFFFAOYSA-N
acetonitrile,CC#N,NIST_XML_SetA,C2H3N,41.053,0,0,1,23.79,0.52988,-,-,-,-,-,-,-,-,-,-,-,90.93,SetA,10.1016/j.jct.2009.08.002,Heat capacities of the mixtures of ionic liquids with acetonitrile,J. Chem. Thermodyn.,2010,Liquid,298.15,101.325,1.41,InChI=1S/C2H3N/c1-2-3/h1H3,WEVYAHXRMPXWCK-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2009.08.002.xml,"(0.0, 0.0, 1.41)",inchikey::WEVYAHXRMPXWCK-UHFFFAOYSA-N
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetA,C8H11F6N3O4S2,391.31500000000005,3,0,5,91.19,1.3918000000000001,-,-,-,-,-,-,-,-,-,-,-,505.7,SetA,10.1016/j.jct.2006.11.006,Thermodynamic properties and polymorphism of 1-alkyl-3-methylimidazolium bis(triflamides),J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,1.413,"InChI=1S/C6H11N2.C2F6NO4S2/c1-3-8-5-4-7(2)6-8;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h4-6H,3H2,1-2H3;/q+1;-1",LRESCJAINPKJTO-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2006.11.006.xml,"(0.0, 0.0, 1.413)",inchikey::LRESCJAINPKJTO-UHFFFAOYSA-N
propylferrocene,CCCc1ccc[cH-]1.[Fe+2].c1cc[cH-]c1,NIST_XML_SetA,C13H16Fe,228.116,2,0,0,0.0,3.761000000000003,-,-,-,-,-,-,-,-,-,-,-,319.5,SetA,10.1021/je800266e,Heat Capacities and Thermodynamic Functions of Propanoylferrocene and Propylferrocene,J. Chem. Eng. Data,2009,Liquid,298.15,101.325,1.5,"InChI=1S/C8H11.C5H5.Fe/c1-2-5-8-6-3-4-7-8;1-2-4-5-3-1;/h3-4,6-7H,2,5H2,1H3;1-5H;/q2*-1;+2",RKEZHXGBECEYGM-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je800266e.xml,"(0.0, 0.0, 1.5)",inchikey::RKEZHXGBECEYGM-UHFFFAOYSA-N
butan-1-ol,CCCCO,NIST_XML_SetA,C4H10O,74.12299999999999,2,1,1,20.23,0.7787999999999999,-,-,-,-,-,-,-,-,-,-,-,177.1,SetA,10.1016/j.jct.2007.04.011,"Molar heat capacities for (1-butanol + 1,4-butanediol, 2,3-butanediol, 1,2-butanediol, and 2-methyl-2,4-pentanediol) as function of temperature",J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,1.53,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2007.04.011.xml,"(0.0, 0.0, 1.53)",inchikey::LRHPLDYGYMQRHN-UHFFFAOYSA-N
butan-2-ol,CCC(C)O,NIST_XML_SetA,C4H10O,74.123,1,1,1,20.23,0.7771999999999999,-,-,-,-,-,-,-,-,-,-,-,197.23,SetA,10.1021/je0497810,Thermodynamic Properties of dodecane + 1-butanol and + 2-butanol systems,J. Chem. Eng. Data,2004,Liquid,298.15,101.325,1.53,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",BTANRVKWQNVYAZ-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je0497810.xml,"(0.0, 0.0, 1.53)",inchikey::BTANRVKWQNVYAZ-UHFFFAOYSA-N
propan-1-ol,CCCO,NIST_XML_SetA,C3H8O,60.096,1,1,1,20.23,0.3887,-,-,-,-,-,-,-,-,-,-,-,144.3,SetA,10.1021/je049738c,Partial Molar Heat Capacities and Partial Molar Volumes of All of the Isomeric (C3 to C5) Alkanols at Infinite Dilution in Water at 298.15 K,J. Chem. Eng. Data,2004,Liquid,298.15,101.325,1.6,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",BDERNNFJNOPAEC-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je049738c.xml,"(0.0, 0.0, 1.6)",inchikey::BDERNNFJNOPAEC-UHFFFAOYSA-N
methanol-d3,[2H]C([2H])([2H])O,NIST_XML_SetA,CH4O,35.06030533399999,0,1,1,20.23,-0.3915,-,-,-,-,-,-,-,-,-,-,-,84.91,SetA,10.1016/j.jct.2008.06.008,Deuterium isotope effect on molar heat capacities and apparent molar heat capacities in dilute aqueous solutions: A multi-channel heat-flow microcalorimeter study,J. Chem. Thermodyn.,2008,Liquid,298.15,101.325,1.7,"InChI=1S/CH4O/c1-2/h2H,1H3/i1D3",OKKJLVBELUTLKV-FIBGUPNXSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2008.06.008.xml,"(0.0, 0.0, 1.7)",inchikey::OKKJLVBELUTLKV-FIBGUPNXSA-N
nitromethane,C[N+](=O)[O-],NIST_XML_SetA,CH3NO2,61.040000000000006,0,0,2,43.14,-0.10710000000000008,-,-,-,-,-,-,-,-,-,-,-,106.9,SetA,10.1016/j.jct.2008.09.002,Excess molar properties for binary systems of alkylimidazolium-based ionic liquids + nitromethane. Experimental results and ERAS-model calculations,J. Chem. Thermodyn.,2009,Liquid,298.15,101.325,1.7,InChI=1S/CH3NO2/c1-2(3)4/h1H3,LYGJENNIWJXYER-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2008.09.002.xml,"(0.0, 0.0, 1.7)",inchikey::LYGJENNIWJXYER-UHFFFAOYSA-N
ethanol,CCO,NIST_XML_SetA,C2H6O,46.069,0,1,1,20.23,-0.0014000000000000123,-,-,-,-,-,-,-,-,-,-,-,112.03,SetA,10.1016/j.jct.2004.12.010,Excess isobaric molar heat capacities and excess molar volumes for ethanol + n-decane and n-undecane systems,J. Chem. Thermodyn.,2005,Liquid,298.15,101.325,1.74,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2004.12.010.xml,"(0.0, 0.0, 1.74)",inchikey::LFQSCWFLJHTTHZ-UHFFFAOYSA-N
"1,4-butanediol",OCCCCO,NIST_XML_SetA,C4H10O2,90.12199999999999,3,2,2,40.46,-0.24880000000000002,-,-,-,-,-,-,-,-,-,-,-,203.06,SetA,10.1016/j.jct.2007.04.011,"Molar heat capacities for (1-butanol + 1,4-butanediol, 2,3-butanediol, 1,2-butanediol, and 2-methyl-2,4-pentanediol) as function of temperature",J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,1.76,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",WERYXYBDKMZEQL-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2007.04.011.xml,"(0.0, 0.0, 1.76)",inchikey::WERYXYBDKMZEQL-UHFFFAOYSA-N
methanol-d4,[2H]OC([2H])([2H])[2H],NIST_XML_SetA,CH4O,36.06640711199999,1,1,1,20.23,-0.3915,-,-,-,-,-,-,-,-,-,-,-,87.75,SetA,10.1016/j.jct.2008.06.008,Deuterium isotope effect on molar heat capacities and apparent molar heat capacities in dilute aqueous solutions: A multi-channel heat-flow microcalorimeter study,J. Chem. Thermodyn.,2008,Liquid,298.15,101.325,1.76,"InChI=1S/CH4O/c1-2/h2H,1H3/i1D3,2D",OKKJLVBELUTLKV-MZCSYVLQSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2008.06.008.xml,"(0.0, 0.0, 1.76)",inchikey::OKKJLVBELUTLKV-MZCSYVLQSA-N
propan-2-ol,CC(C)O,NIST_XML_SetA,C3H8O,60.09600000000001,0,1,1,20.23,0.38710000000000006,-,-,-,-,-,-,-,-,-,-,-,155.2,SetA,10.1021/je049738c,Partial Molar Heat Capacities and Partial Molar Volumes of All of the Isomeric (C3 to C5) Alkanols at Infinite Dilution in Water at 298.15 K,J. Chem. Eng. Data,2004,Liquid,298.15,101.325,1.8,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",KFZMGEQAYNKOFK-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je049738c.xml,"(0.0, 0.0, 1.8)",inchikey::KFZMGEQAYNKOFK-UHFFFAOYSA-N
