name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,density,vapor_pressure,enthalpy_of_formation,critical_temperature,critical_pressure,acentric_factor,viscosity,thermal_conductivity,price,heat_capacity,source_subset,doi,title,journal,year,property_phase_norm,temperature_K,pressure_kPa,expanded_uncertainty,primary_inchi,primary_inchikey,source_file,subset_row_rank,structure_key
2-hydroxy-N-methylethanaminium pentanoate,CCCCC(=O)O.CNCCO,NIST_XML_SetA,C8H19NO3,177.24399999999997,5,3,3,69.56,0.4592999999999999,-,-,-,-,-,-,-,-,-,-,-,394.5,SetA,10.1016/j.jct.2013.09.010,Thermophysical characterization of N-methyl-2-hydroxyethylammonium carboxilate ionic liquids,J. Chem. Thermodyn.,2014,Liquid,298.15,101.0,16.7,"InChI=1S/C5H10O2.C3H9NO/c1-2-3-4-5(6)7;1-4-2-3-5/h2-4H2,1H3,(H,6,7);4-5H,2-3H2,1H3",APHAJXKTDUOZST-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2013.09.010.xml,"(0.0, 0.32500000000000284, 16.7)",inchikey::APHAJXKTDUOZST-UHFFFAOYSA-N
3-hexyl-1-methylimidazolium acetate,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,NIST_XML_SetA,C12H22N2O2,226.32,5,0,3,48.94,0.6491000000000002,-,-,-,-,-,-,-,-,-,-,-,446.98,SetA,10.1016/j.fluid.2016.06.054,Isobaric molar heat capacity of 1-ethyl-3-methylimidazolium acetate and 1-hexyl-3-methylimidazolium acetate up to 16 MPa,Fluid Phase Equilib.,2016,Liquid,308.3,100.0,8.96,"InChI=1S/C10H19N2.C2H4O2/c1-3-4-5-6-7-12-9-8-11(2)10-12;1-2(3)4/h8-10H,3-7H2,1-2H3;1H3,(H,3,4)/q+1;/p-1",AQCYTEFBYQAOEP-UHFFFAOYSA-M,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.fluid.2016.06.054.xml,"(10.150000000000034, 1.3250000000000028, 8.96)",inchikey::AQCYTEFBYQAOEP-UHFFFAOYSA-M
3-pentanol,CCC(O)CC,NIST_XML_SetA,C5H12O,88.14999999999999,2,1,1,20.23,1.1673,-,-,-,-,-,-,-,-,-,-,-,254.6,SetA,10.1021/je049738c,Partial Molar Heat Capacities and Partial Molar Volumes of All of the Isomeric (C3 to C5) Alkanols at Infinite Dilution in Water at 298.15 K,J. Chem. Eng. Data,2004,Liquid,298.15,101.325,2.2,"InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3",AQIXEPGDORPWBJ-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je049738c.xml,"(0.0, 0.0, 2.2)",inchikey::AQIXEPGDORPWBJ-UHFFFAOYSA-N
N-methylformamide,CN=CO,NIST_XML_SetA,C2H5NO,59.068000000000005,0,1,1,32.59,0.20249999999999996,-,-,-,-,-,-,-,-,-,-,-,123.92,SetA,10.1016/j.jct.2013.12.006,Topological and thermodynamic investigations of mixtures containing o-chlorotoluene and lower amides,J. Chem. Thermodyn.,2014,Liquid,298.15,101.325,5.26,"InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)",ATHHXGZTWNVVOU-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2013.12.006.xml,"(0.0, 0.0, 5.26)",inchikey::ATHHXGZTWNVVOU-UHFFFAOYSA-N
"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,NIST_XML_SetA,C9H12,120.19499999999998,0,0,0,0.0,2.611860000000001,-,-,-,-,-,-,-,-,-,-,-,207.425,SetA,10.1016/j.jct.2006.09.007,Thermodynamics of mixtures involving some (benzene derivatives + benzonitrile),J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.425,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",AUHZEENZYGFFBQ-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2006.09.007.xml,"(0.0, 0.0, 0.425)",inchikey::AUHZEENZYGFFBQ-UHFFFAOYSA-N
"1-butyl-2,3-dimethyl-1H-imidazolium trifluorotris(perfluoroethyl)phosphate(V)",CCCCn1cc[n+](C)c1C.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,NIST_XML_SetA,C15H17F18N2P,598.253,6,0,1,8.809999999999999,8.615319999999999,-,-,-,-,-,-,-,-,-,-,-,764.6,SetA,10.1016/j.jct.2018.03.031,Isobaric heat capacity of nanostructured liquids with potential use as lubricants,J. Chem. Thermodyn.,2018,Liquid,298.15,101.325,18.7,"InChI=1S/C9H17N2.C6F18P/c1-4-5-6-11-8-7-10(3)9(11)2;7-1(8,9)4(16,17)25(22,23,24,5(18,19)2(10,11)12)6(20,21)3(13,14)15/h7-8H,4-6H2,1-3H3;/q+1;-1",AXOQEHVTJWJVLY-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2018.03.031.xml,"(0.0, 0.0, 18.7)",inchikey::AXOQEHVTJWJVLY-UHFFFAOYSA-N
1-bromononane,CCCCCCCCCBr,NIST_XML_SetA,C9H19Br,207.155,7,0,0,0.0,4.1319000000000035,-,-,-,-,-,-,-,-,-,-,-,308.303071428,SetA,10.1007/s10765-016-2064-y,"Isobaric heat capacity, isothermal compressibility and fluctuational properties of 1- bromoalkanes",Int. J. Thermophys.,2016,Liquid,298.15,101.325,13.071238196,"InChI=1S/C9H19Br/c1-2-3-4-5-6-7-8-9-10/h2-9H2,1H3",AYMUQTNXKPEMLM-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1007/s10765-016-2064-y.xml,"(0.0, 0.0, 13.071238196)",inchikey::AYMUQTNXKPEMLM-UHFFFAOYSA-N
"2,4-dimethyl-3-pentanol",CC(C)C(O)C(C)C,NIST_XML_SetA,C7H16O,116.20399999999997,2,1,1,20.23,1.6593,-,-,-,-,-,-,-,-,-,-,-,362.0,SetA,10.1016/j.fluid.2016.04.003,Calorimetric and FTIR study of selected aliphatic heptanols,Fluid Phase Equilib.,2016,Liquid,300.0,101.325,14.7,"InChI=1S/C7H16O/c1-5(2)7(8)6(3)4/h5-8H,1-4H3",BAYAKMPRFGNNFW-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.fluid.2016.04.003.xml,"(1.8500000000000227, 0.0, 14.7)",inchikey::BAYAKMPRFGNNFW-UHFFFAOYSA-N
1-butyl-3-cyanopyridinium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1cccc(C#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetA,C12H13F6N3O4S2,441.37500000000006,5,0,5,110.04999999999998,2.7051800000000013,-,-,-,-,-,-,-,-,-,-,-,586.0,SetA,10.1016/j.jct.2012.07.015,"Synthesis, physical, and thermodynamic properties of 1-alkyl-cyanopyridinium  bis{(trifluoromethyl)sulfonyl}imide ionic liquids",J. Chem. Thermodyn.,2013,Liquid,298.15,101.325,59.0,"InChI=1S/C10H13N2.C2F6NO4S2/c1-2-3-6-12-7-4-5-10(8-11)9-12;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h4-5,7,9H,2-3,6H2,1H3;/q+1;-1",BBENVNYHPQWFJZ-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2012.07.015.xml,"(0.0, 0.0, 59.0)",inchikey::BBENVNYHPQWFJZ-UHFFFAOYSA-N
heptan-1-ol,CCCCCCCO,NIST_XML_SetA,C7H16O,116.204,5,1,1,20.23,1.9491,-,-,-,-,-,-,-,-,-,-,-,276.6,SetA,10.1016/j.fluid.2016.04.003,Calorimetric and FTIR study of selected aliphatic heptanols,Fluid Phase Equilib.,2016,Liquid,300.0,101.325,11.2,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",BBMCTIGTTCKYKF-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.fluid.2016.04.003.xml,"(1.8500000000000227, 0.0, 11.2)",inchikey::BBMCTIGTTCKYKF-UHFFFAOYSA-N
1-octyl-3-methylimidazolium trifluoromethanesulfonate,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,NIST_XML_SetA,C13H23F3N2O3S,344.3990000000001,7,0,4,66.00999999999999,2.724500000000001,-,-,-,-,-,-,-,-,-,-,-,588.0,SetA,10.1016/j.fluid.2006.03.015,Measurement of heat capacities of ionic liquids by differential scanning calorimetry,Fluid Phase Equilib.,2006,Liquid,313.17,101.325,31.0,"InChI=1S/C12H23N2.CHF3O3S/c1-3-4-5-6-7-8-9-14-11-10-13(2)12-14;2-1(3,4)8(5,6)7/h10-12H,3-9H2,1-2H3;(H,5,6,7)/q+1;/p-1",BCVMAYRUJBXMAP-UHFFFAOYSA-M,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.fluid.2006.03.015.xml,"(15.020000000000039, 0.0, 31.0)",inchikey::BCVMAYRUJBXMAP-UHFFFAOYSA-M
propan-1-ol,CCCO,NIST_XML_SetA,C3H8O,60.096,1,1,1,20.23,0.3887,-,-,-,-,-,-,-,-,-,-,-,144.3,SetA,10.1021/je049738c,Partial Molar Heat Capacities and Partial Molar Volumes of All of the Isomeric (C3 to C5) Alkanols at Infinite Dilution in Water at 298.15 K,J. Chem. Eng. Data,2004,Liquid,298.15,101.325,1.6,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",BDERNNFJNOPAEC-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je049738c.xml,"(0.0, 0.0, 1.6)",inchikey::BDERNNFJNOPAEC-UHFFFAOYSA-N
methyl nonadecanoate,CCCCCCCCCCCCCCCCCCC(=O)OC,NIST_XML_SetA,C20H40O2,312.538,17,0,2,26.3,6.811000000000008,-,-,-,-,-,-,-,-,-,-,-,691.61,SetA,10.1021/je0499364,Heat Capacity Measurements of 13 Methyl Esters of n-Carboxylic Acids from Methyloctanoate to Methyleicosanoate between 5 K and 350 K,J. Chem. Eng. Data,2004,Liquid,320.0,101.325,1.78,"InChI=1S/C20H40O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-2/h3-19H2,1-2H3",BDXAHSJUDUZLDU-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je0499364.xml,"(21.850000000000023, 0.0, 1.78)",inchikey::BDXAHSJUDUZLDU-UHFFFAOYSA-N
1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,NIST_XML_SetA,C14H15F18N2P,584.226,6,0,1,8.809999999999999,8.306900000000002,-,-,-,-,-,-,-,-,-,-,-,696.9832865298,SetA,10.1021/acs.jced.7b00618,"Viscosity, Density, Heat Capacity, Speed of Sound and Other Derived Properties of 1-Butyl-3-Methylimidazolium tris(Pentafluoroethyl) Trifluorophosphate over a Wide Range of Temperature and at Atmospheric Pressure",J. Chem. Eng. Data,2017,Liquid,298.15,101.325,42.6486000978,"InChI=1S/C8H15N2.C6F18P/c1-3-4-5-10-7-6-9(2)8-10;7-1(8,9)4(16,17)25(22,23,24,5(18,19)2(10,11)12)6(20,21)3(13,14)15/h6-8H,3-5H2,1-2H3;/q+1;-1",BFAYWNGSWWYNBU-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/acs.jced.7b00618.xml,"(0.0, 0.0, 42.6486000978)",inchikey::BFAYWNGSWWYNBU-UHFFFAOYSA-N
1-chloro-2-nitrobenzene,O=[N+]([O-])c1ccccc1Cl,NIST_XML_SetA,C6H4ClNO2,157.556,1,0,2,43.14,2.2482000000000006,-,-,-,-,-,-,-,-,-,-,-,211.4,SetA,10.1021/je700080k,Heat Capacities of Chloroanilines and Chloronitrobenzenes,J. Chem. Eng. Data,2007,Liquid,319.35,101.325,4.24,InChI=1S/C6H4ClNO2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,BFCFYVKQTRLZHA-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je700080k.xml,"(21.200000000000045, 0.0, 4.24)",inchikey::BFCFYVKQTRLZHA-UHFFFAOYSA-N
1-butyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide,CCCCCn1cc[n+](CCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetA,C14H23F6N3O4S2,475.4770000000001,9,0,5,91.19,3.8252000000000033,-,-,-,-,-,-,-,-,-,-,-,687.34,SetA,10.1016/j.fluid.2017.03.021,"Thermal properties of 1-alkyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide ionic liquids with linear, branched and cyclic alkyl substituents",Fluid Phase Equilib.,2017,Liquid,298.15,101.325,26.62,"InChI=1S/C12H23N2.C2F6NO4S2/c1-3-5-7-9-14-11-10-13(12-14)8-6-4-2;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h10-12H,3-9H2,1-2H3;/q+1;-1",BFDQROACADRRKK-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.fluid.2017.03.021.xml,"(0.0, 0.0, 26.62)",inchikey::BFDQROACADRRKK-UHFFFAOYSA-N
(diethylamino)ethanol,CCN(CC)CCO,NIST_XML_SetA,C6H15NO,117.19200000000001,4,1,2,23.47,0.32050000000000006,-,-,-,-,-,-,-,-,-,-,-,281.8,SetA,10.1016/j.fluid.2018.05.032,Vapor pressures and thermophysical properties of selected ethanolamines,Fluid Phase Equilib.,2018,Liquid,300.0,101.325,10.9,"InChI=1S/C6H15NO/c1-3-7(4-2)5-6-8/h8H,3-6H2,1-2H3",BFSVOASYOCHEOV-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.fluid.2018.05.032.xml,"(1.8500000000000227, 0.0, 10.9)",inchikey::BFSVOASYOCHEOV-UHFFFAOYSA-N
3-hexyl-1-methyl-1H-imidazolium bromide,CCCCCCn1cc[n+](C)c1.[Br-],NIST_XML_SetA,C10H19BrN2,247.18,5,0,1,8.809999999999999,-1.1030999999999977,-,-,-,-,-,-,-,-,-,-,-,344.0,SetA,10.1016/j.jct.2005.03.013,"Phase transition and decomposition temperatures, heat capacities and viscosities of pyridinium ionic liquids",J. Chem. Thermodyn.,2005,Liquid,298.0,101.325,35.0,"InChI=1S/C10H19N2.BrH/c1-3-4-5-6-7-12-9-8-11(2)10-12;/h8-10H,3-7H2,1-2H3;1H/q+1;/p-1",BGSUDDILQRFOKZ-UHFFFAOYSA-M,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2005.03.013.xml,"(0.14999999999997726, 0.0, 35.0)",inchikey::BGSUDDILQRFOKZ-UHFFFAOYSA-M
D-fructose,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,NIST_XML_SetA,C6H12O6,180.15599999999998,5,5,6,118.22,-3.377199999999999,-,-,-,-,-,-,-,-,-,-,-,397.15,SetA,10.1016/j.jct.2012.07.003,Apparent heat capacity measurements and thermodynamic functions of d(-)-fructose by standard and temperature-modulated calorimetry,J. Chem. Thermodyn.,2013,Liquid,300.0,101.325,7.94,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3,5-9,11-12H,1-2H2/t3-,5-,6-/m1/s1",BJHIKXHVCXFQLS-UYFOZJQFSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2012.07.003.xml,"(1.8500000000000227, 0.0, 7.94)",inchikey::BJHIKXHVCXFQLS-UYFOZJQFSA-N
